,precision,recall,f1-score,f2-score,ap-score,support
Urban fabric,0.8031880586013084,0.48622266845158413,0.6057468468781487,0.5278871192393872,0.7207952954921601,17928.0
Industrial or commercial units,0.6327913279132791,0.16631054131054132,0.263395375070502,0.1950710108604845,0.35933164362791475,2808.0
Arable land,0.806899641577061,0.7639448568398728,0.7848349493408869,0.7721660092608472,0.8777715550767812,47150.0
Permanent crops,0.6662428480610298,0.15384615384615385,0.2499701848539058,0.18181187328683945,0.41452347379049764,6812.0
Pastures,0.7799730028224322,0.5259412494828299,0.6282494810714639,0.5625874063977058,0.7551012851405896,24170.0
Complex cultivation patterns,0.6801516351703066,0.4688743271706061,0.555088659032139,0.4999334586528704,0.6507926072128729,25638.0
"Land principally occupied by agriculture, with significant areas of natural vegetation",0.6767929244376082,0.43928615999001625,0.532768276070834,0.47244517220089655,0.6443583901776104,32052.0
Agro-forestry areas,0.7031170158405723,0.5685167332323371,0.6286932683521169,0.5911499355577831,0.7170604494777673,7261.0
Broad-leaved forest,0.7272941084238171,0.5436273073542338,0.6221894334434365,0.5725447599533422,0.7377555057963124,34130.0
Coniferous forest,0.8136838976409868,0.7617120307598907,0.7868406955930963,0.7715684013631587,0.8681096054176861,39532.0
Mixed forest,0.7558905100687326,0.7350437372481884,0.7453213801631275,0.7391205919944913,0.8097401253201834,42641.0
Natural grassland and sparsely vegetated areas,0.6660341555977229,0.12540192926045016,0.2110643415514131,0.14970570673035913,0.3268741294789703,2799.0
"Moors, heathland and sclerophyllous vegetation",0.6123456790123457,0.25706141487431977,0.36210987406461037,0.2908067542213884,0.438868197795611,3859.0
"Transitional woodland, shrub",0.6440641247833622,0.49261274198447985,0.5582487051496706,0.5169236119160774,0.6527776129950159,36211.0
"Beaches, dunes, sands",0.6119402985074627,0.18552036199095023,0.28472222222222227,0.21556256572029442,0.3391435384695013,221.0
Inland wetlands,0.750149790293589,0.23406244157786502,0.3567968082074665,0.2714068935616735,0.43310346798101007,5349.0
Coastal wetlands,0.896551724137931,0.08387096774193549,0.15339233038348082,0.1024428684003152,0.26715643012082607,310.0
Inland waters,0.8225988700564971,0.6750324534833405,0.7415455656661685,0.7001525973609632,0.8223948931256269,16177.0
Marine waters,0.9597357840321654,0.9270931587416079,0.9431321084864392,0.933442828093227,0.9817431519139654,18023.0
micro avg,0.7632960695683936,0.5985909092161037,0.6709838560785925,0.6255890146924803,0.7786497275212032,363071.0
macro avg,0.7373392314199058,0.45231480186006334,0.5270584476632173,0.4771962928827424,0.6219684925479423,363071.0
weighted avg,0.7537051930284634,0.5985909092161037,0.6574540012492626,0.619735535244536,0.7510426580858236,363071.0
samples avg,0.7845403426016935,0.6628571037629083,0.6894537743412739,0.6681419187872571,0.8369629314175834,363071.0
